<ROOT>
THE SHOE NETWORK,301 Lesmill Road,Toronto,M3B 2V1,(416) 321-5252,
ONE SHOT TACTICAL INC.,45 Front St.,Trenton,K8V 4N3,(613) 394-5023,
UNDERGROUND PRODUCTZ,949 KEYES DR.,WOODSTOCK,N4V 1C3,(519) 913-0882,
PRE FAIR Camp Imrico Ltee.,1055 Louis-Marchand,Beloeil,J3G 6S4,(450) 446-7060,
Uniformes VPC,559B Cure-Boivin,Boisbriand,J7G 2A8,(450) 939-1318,
GARNISON VALCARTIER 5E BNS DU CANADA,5 BNS DU C APPROVISIONNEMENT,COURCELETTE,G0A 4Z0,(418) 844-5000,
Specialiste De La Securite Au Travail (Le),154 Boul Maloney Est.,Gatineau,J8P 1C1,(819) 669-2430,
Surplus D'Armee,121 Boul. St. Joseph,Gatineau,J8Y 3W7,(819) 778-3497,
C.R.A.F.M. Centre RecreatifD'Armes A Feu De Montreal,2206-52nd Ave.,Lachine,H8T 2Y3,(514) 635-4867,
R. Nicholls Distributors Inc.,2475 De La Province,Longueuil,J4G 1G3,(450) 442-9215,
Collins Safety-Kingston,444 Ave. de LaSalle,Montreal,H1V 2J1,(514) 526-7931,
Electronique Securite Thomas Ltee,4169 Boul. Decarie,Montreal,H4A 3J8,(514) 487-5141,
EQUIPEMENT DE SECURITE UNIVERSEL,6855 ST. JACQUES WEST,MONTREAL,H4B 1V3,(514) 369-6699,
Les Uniformes Moderna,235 rue Beaubien Est,Montreal,H2S 1R5,(514) 279-2016,
UNIFORMES W. GRADINGER LTD.,3985 NOTRE DAME OUEST,MONTREAL,H4C 1R2,(514) 932-3353,
Screaming-Eagle,1424 St-Laurent,Montreal,H2X 2S7,(866) 449-2843,
Boutique Militaire Quebec Inc.,440 Rue du Pont,Quebec,G1K 9J7,(418) 640-9227,
SURPLUS PONT-ROUGE,25 MARIE DE L'INCARNATION,QUEBEC,G1N 3E5,(418) 271-0203,
CAMSTICK CANADA INC,438 Jacques-Cartier,Shannon,G0A 4N0,(418) 844-9111,
UNIFX UNIFORMS,2450 COHEN STREET,ST. LAURENT,H4R 2N6,(514) 745-3384,
Chaussures 22,4585 Chemin Chambly,St-Hubert,J3Y 3M9,(450) 678-6828,
ANTONIO MOREAU (1984) LTEE,7405 Duplessis,St-Hyacinthe,J2R 1S5,(450) 253-4828,
Bottes 911,3395 rue Ubald-Laforest,Trois-Rivieres,G8Y 4M2,(819) 384-4515,
SURPLUS PLUS,2415 11th Avenue,Regina,S4P 0K4,(306) 359-3344,
Ron's The Work Wear Store Ltd.,112 - 2ND ST NE,WEYBURN,S4H 0T8,(306) 634-8232,
QUINN THE ESKIMO,207 IDYLWYLD DRIVE SOUTH,Saskatoon,S7M 1L6,(306) 652-3733,
</ROOT>
